Luchthavencode;Naam;Plaats;Staat;Land;Aanduiding;Vakantiecode;Lat;Lon;Continent;Afstand in km;Tijdsduur;Uren
DXB;Dubai International;Dubai;;United Arab Emirates;Dubai;3;25,252778;55,364444;Az;5138,325886;479,8960262;7,998267103
DUB;Dublin;Dublin;;Ireland;Dublin;2;53,421333;-6,270075;Eur;780,2098915;105,0980507;1,751634178
DUS;Dusseldorf;Dusseldorf;;Germany;Dusseldorf;1;51,289453;6,766775;Eur;142,4921567;50,25432547;0,837572091
EMA;East Midlands Airport;Leicestershire;;United Kingdom;East Midlands;0;52,831111;-1,328056;Eur;444,6933747;76,24363023;1,27072717
EIN;Eindhoven;Eindhoven;;Netherlands;Eindhoven;1;51,450139;5,374528;Eur;69,79667568;44,00251411;0,733375235
FAO;Faro;Faro;;Portugal;Faro;4;37,014425;-7,965911;Eur;1960,962401;206,6427665;3,444046109
FRA;Frankfurt Main;Frankfurt;;Germany;Frankfurt;1;50,026421;8,543125;Eur;329,3583771;66,32482043;1,105413674
GVA;Geneve Cointrin;Geneva;;Switzerland;Geneva;1;46,238064;6,10895;Eur;650,9972947;93,98576734;1,566429456
GLA;Glasgow;Glasgow;Scotland;United Kingdom;Glasgow;2;55,871944;-4,433056;Eur;753,8271523;102,8291351;1,713818918
LPA;Gran Canaria;Gran Canaria;Canary Islands;Spain;Gran Canaria;4;27,931886;-15,386586;Eur;3176,423225;311,1723973;5,186206622
CAN;Baiyun Intl;Guangzhou;;China;Guangzhou;2;23,392436;113,298786;Az;9132,277862;823,3758961;13,7229316
HAM;Hamburg;Hamburg;;Germany;Hamburg;1;53,630389;9,988228;Eur;371,2752263;69,92966946;1,165494491
HAN;Noibai Intl;Hanoi;;Vietnam;Hanoi;2;21,221192;105,807178;Az;8860,498175;800,0028431;13,33338072
HAV;Jose Marti Intl;Havana;;Cuba;Havana;2;22,989153;-82,409086;NAm;7848,135753;712,9396747;11,88232791
HEL;Helsinki Vantaa;Helsinki;;Finland;Helsinki;1;60,317222;24,963333;Eur;1523,923141;169,0573901;2,817623168
HKG;Hong Kong Intl;Hong Kong;;Hong Kong;Hong Kong;2;22,308919;113,914603;Az;9266,837198;834,947999;13,91579998
IAH;George Bush Intercontinental;Houston;TX;USA;Houston;1;29,984433;-95,341442;NAm;8083,044547;733,1418311;12,21903052
IOM;Isle Of Man;Isle Of Man;Isle Of Man;United Kingdom;Isle Of Man;4;54,083333;-4,623889;Eur;687,6736266;97,13993189;1,618998865
IST;Ataturk;Istanbul;;Turkey;Istanbul;2;40,976922;28,814606;Eur;2176,728618;225,1986611;3,753311019
CGK;Soekarno Hatta Intl;Jakarta;;Indonesia;Jakarta;2;-6,125567;106,655897;Az;11332,74509;1012,616078;16,87693463
JNB;O. R. Tambo International Airport;Johannesburg;;South Africa;Johannesburg;3;-26,139166;28,246;Afr;8982,600783;810,5036673;13,50839446
KBP;Boryspil Intl;Kiev;;Ukraine;Kiev;1;50,345;30,894722;Eur;1796,914193;192,5346206;3,208910343
KIN;Norman Manley Intl;Kingston;;Jamaica;Kingston;4;17,935667;-76,7875;NAm;7896,677927;717,1143017;11,95190503
KGS;Kos;Kos;;Greece;Kos;4;36,793335;27,091667;Eur;2416,322383;245,8037249;4,096728748
KUL;Kuala Lumpur Intl;Kuala Lumpur;;Malaysia;Kuala Lumpur;3;2,745578;101,709917;Az;10216,57636;916,6255673;15,27709279
ACE;Lanzarote;Lanzarote;Canary Islands;Spain;Lanzarote;4;28,945464;-13,605225;Eur;2998,23535;295,8482401;4,930804001
LAS;Mc Carran Intl;Las Vegas;NV;USA;Las Vegas;2;36,080056;-115,15225;NAm;8633,668942;780,4955291;13,00825882
LIS;Lisboa;Lisbon;;Portugal;Lisbon;3;38,781311;-9,135919;Eur;1841,051312;196,3304128;3,272173547
LPL;Liverpool;Liverpool;England;United Kingdom;Liverpool;1;53,333611;-2,849722;Eur;554,6372867;85,69880666;1,428313444
LJU;Ljubljana;Ljubljana;;Slovenia;Ljubljana;1;46,223686;14,457611;Eur;938,2534769;118,689799;1,978163317
STN;Stansted;London;England;United Kingdom;London Stansted;0;51,885;0,235;Eur;334,5082467;66,76770922;1,112795154
LGW;Gatwick;London;England;United Kingdom;London Gatwick;1;51,148056;-0,190278;Eur;379,7142578;70,65542617;1,177590436
LHR;Heathrow;London;England;United Kingdom;London;3;51,4775;-0,461389;Eur;388,7288496;71,43068106;1,190511351
LAX;Los Angeles Intl;Los Angeles;CA;USA;Los Angeles;3;33,942536;-118,408075;NAm;8992,549207;811,3592318;13,52265386
MAD;Barajas;Madrid;;Spain;Madrid;3;40,493556;-3,566764;Eur;1446,023309;162,3580046;2,705966743
MLA;Luqa;Malta;;Malta;Malta;4;35,857497;14,4775;Eur;1947,213634;205,4603725;3,424339542
MAN;Manchester;Manchester;England;United Kingdom;Manchester;1;53,353744;-2,27495;Eur;517,8542641;82,53546672;1,375591112
MNL;Ninoy Aquino Intl;Manila;;Philippines;Manila;3;14,508647;121,019581;Az;10406,17697;932,9312195;15,54885366
MEX;Licenciado Benito Juarez Intl;Mexico City;Distrito Federal;Mexico;Mexico City;2;19,436303;-99,072097;NAm;9238,975694;832,5519097;13,87586516
MIA;Miami Intl;Miami;FL;USA;Miami;3;25,79325;-80,290556;NAm;7472,196234;680,6088762;11,34348127
MXP;Milan Malpensa;Milan;;Italy;Milan;3;45,630606;8,728111;Eur;761,7087436;103,5069519;1,725115866
YUL;Pierre Elliott Trudeau Intl;Montreal;Quebec;Canada;Montreal;2;45,470556;-73,740833;NAm;5536,591645;514,1468815;8,569114692
SVO;Sheremetyevo;Moscow;;Russia;Moscow;1;55,972642;37,414589;Az;2134,277283;221,5478464;3,692464106
MUC;Franz Josef Strauss;Munich;;Germany;Munich;1;48,353783;11,786086;Eur;628,1758629;92,02312421;1,533718737
NBO;Jomo Kenyatta International;Nairobi;;Kenya;Nairobi;2;-1,319167;36,9275;Afr;6640,74353;609,1039436;10,15173239
NAS;Lynden Pindling Intl;Nassau;;Bahamas;Nassau;4;25,038958;-77,466231;NAm;7345,816048;669,7401801;11,16233634
JFK;John F Kennedy Intl;New York;NY;USA;New York;3;40,639751;-73,778925;NAm;5879,607481;543,6462434;9,060770723
NCL;Newcastle;Newcastle;England;United Kingdom;Newcastle;1;55,0375;-1,691667;Eur;558,069519;85,99397864;1,433232977
OSL;Gardermoen;Oslo;;Norway;Oslo;1;59,883333;10,616667;Eur;934,5583908;118,3720216;1,972867027
PFO;Pafos Intl;Paphos;;Cyprus;Paphos;4;34,718039;32,485731;Eur;2903,091044;287,6658298;4,794430496
PBM;Johan A Pengel Intl;Paramaribo;;Suriname;Paramaribo;3;5,452831;-55,187783;ZAm;7536,392259;686,1297343;11,43549557
CDG;Charles De Gaulle;Paris;;France;Paris;2;49,012779;2,55;Eur;383,7308404;71,00085227;1,183347538
PNH;Phnom Penh Intl;Phnom Penh;;Cambodia;Phnom Penh;3;11,546556;104,844139;Afr;9650,550474;867,9473408;14,46578901
PLH;Plymouth;Plymouth;England;United Kingdom;Plymouth;1;50,422778;-4,105833;Eur;666,3304816;95,30442141;1,588407024
PAP;Toussaint Louverture Intl;Port Au Prince;;Haiti;Port Au Prince;4;18,58005;-72,292542;NAm;7535,290784;686,0350074;11,43391679
PRG;Ruzyne;Prague;;Czech Republic;Prague;3;50,100833;14,26;Eur;674,5505257;96,01134521;1,600189087
GIG;Galeao Antonio Carlos Jobim;Rio De Janeiro;Rio De Janeiro;Brazil;Rio De Janeiro;3;-22,808903;-43,243647;ZAm;9555,220333;859,7489486;14,32914914
FCO;Fiumicino;Rome;;Italy;Rome;3;41,804475;12,250797;Eur;1260,83941;146,4321893;2,440536488
RTM;Rotterdam;Rotterdam;;Netherlands;Rotterdam;1;51,956944;4,437222;Eur;47,42965899;42,07895067;0,701315845
SZG;Salzburg;Salzburg;;Austria;Salzburg;1;47,793304;13,004333;Eur;736,8238255;101,366849;1,689447483
SFO;San Francisco Intl;San Francisco;CA;USA;San Francisco;3;37,618972;-122,374889;NAm;8822,227126;796,7115328;13,27852555
SEA;Seattle Tacoma Intl;Seattle;WA;USA;Seattle;2;47,449;-122,309306;NAm;7876,558259;715,3840103;11,92306684
ICN;Incheon Intl;Seoul;;South Korea;Seoul;1;37,469075;126,450517;Az;8555,700969;773,7902833;12,89650472
SHA;Hongqiao Intl;Shanghai;;China;Shanghai;2;31,197875;121,336319;Az;8879,89145;801,6706647;13,36117774
SIN;Changi Intl;Singapore;;Singapore;Singapore;2;1,350189;103,994433;Az;10494,40586;940,5189038;15,67531506
SOF;Sofia;Sofia;;Bulgaria;Sofia;1;42,695194;23,406167;Eur;1718,537818;185,7942524;3,096570873
SOU;Southampton;Southampton;England;United Kingdom;Southampton;1;50,950261;-1,356803;Eur;464,0855764;77,91135957;1,29852266
SXM;Princess Juliana Intl;St Maarten;;Netherlands Antilles;St Maarten;4;18,040953;-63,1089;NAm;6953,876792;636,0334041;10,60055674
LED;Pulkovo;St Petersburg;;Russia;St Petersburg;1;59,800292;30,262503;Az;1772,331375;190,4204982;3,17367497
ARN;Arlanda;Stockholm;;Sweden;Stockholm;1;59,651944;17,918611;Eur;1159,083974;137,6812218;2,29468703
SXB;Entzheim;Strasbourg;;France;Strasbourg;1;48,538319;7,628233;Eur;430,0383767;74,98330039;1,249721673
TPE;Taoyuan Intl;Taipei;;Taiwan;Taipei;2;25,077731;121,232822;Az;9439,451744;849,79285;14,16321417
IKA;Imam Khomeini;Abyek;;Iran;Tehran-Abyek;0;35,416111;51,152222;Az;4047,932794;386,1222203;6,435370338
THR;Mehrabad Intl;Tehran;;Iran;Tehran;1;35,689167;51,313416;Az;4038,667676;385,3254201;6,422090335
TLV;Ben Gurion;Tel Aviv Yafo;;Israel;Tel Aviv Yafo;3;32,011389;34,886667;Az;3277,228709;319,8416689;5,330694482
TFS;Tenerife Sur;Tenerife;Canary Islands;Spain;Tenerife;4;28,044475;-16,572489;Eur;3218,86065;314,8220159;5,247033599
NRT;Narita Intl;Tokyo;;Japan;Tokyo;2;35,764722;140,386389;Az;9328,243103;840,2289068;14,00381511
YYZ;Lester B Pearson Intl;Toronto;Ontario;Canada;Toronto;2;43,677223;-79,630556;NAm;6023,525404;556,0231847;9,267053078
VLC;Valencia;Valencia;;Spain;Valencia;2;39,489314;-0,481625;Eur;1462,054616;163,736697;2,72894495
YVR;Vancouver Intl;Vancouver;British Columbia;Canada;Vancouver;1;49,193889;-123,184444;NAm;7743,722025;703,9600942;11,73266824
VIE;Schwechat;Vienna;;Austria;Vienna;2;48,110278;16,569722;Eur;926,4218364;117,6722779;1,961204632
VTE;Wattay Intl;Vientiane;;Laos;Vientiane;2;17,988322;102,563256;Az;8934,112402;806,3336665;13,43889444
VNO;Vilnius Intl;Vilnius;;Lithuania;Vilnius;1;54,634133;25,285767;Eur;1364,499924;155,3469935;2,589116558
WAW;Okecie;Warsaw;;Poland;Warsaw;1;52,16575;20,967122;Eur;1080,695117;130,9397801;2,182329668
IAD;Washington Dulles Intl;Washington;DC;USA;Washington;1;38,944533;-77,455811;NAm;6239,409721;574,589236;9,576487267
CUR;Hato;Willemstad;;Netherlands Antilles;Curacao;4;12,188853;-68,959803;NAm;7855,137192;713,5417986;11,89236331
XIY;Xianyang;Xi An;;China;Xi An;1;34,447119;108,751592;Az;7888,588867;716,4186425;11,94031071
ZAG;Zagreb;Zagreb;;Croatia (Hrvatska);Zagreb;3;45,742931;16,068778;Eur;1063,045991;129,4219552;2,157032587
CGO;Xinzheng;Zhengzhou;;China;Zhengzhou;1;34,519672;113,840889;Az;8171,469712;740,7463952;12,34577325
ZRH;Zurich;Zurich;;Switzerland;Zurich;1;47,464722;8,549167;Eur;566,9898079;86,76112348;1,446018725
CMN;Mohammed V Intl;Casablanca;;Morocco;Casablanca;2;33,367467;-7,589967;Afr;2314,982431;237,0884891;3,951474818
PMI;Son Sant Joan;Palma de Mallorca;;Spain;Mallorca;4;39,55361;2,727778;Eur;1402,251727;158,5936485;2,643227475
SKG;Makedonia;Thessaloniki;;Greece;Thessaloniki;4;40,519725;22,97095;Eur;1869,125694;198,7448097;3,312413495
VCE;Venezia Tessera;Venice;;Italy;Venice;3;45,505278;12,351944;Eur;900,2117443;115,41821;1,923636833
TUN;Carthage;Tunis;;Tunisia;Tunis;2;36,851033;10,227217;Afr;1737,726177;187,4444512;3,124074187
