Vlucht_id;Datum;Dag;Maand;Jaar;Vertrektijd;Vertrektijd_uur;Plandatum;Plandag;Planmaand;Planjaar;Plantijd;Plantijd_uur;VertragingMin;Terminal;Gate;Plangate;Gatewisselafstand;Shops;Operatie;Faciliteiten;Maatschappijnaam;RH;FXX;VVN;Drukte;BezettingPercentage;Passagiers;Vliegtuigmerk;Vliegtuigtype;Vliegtuigcapaciteit;Bouwjaar;Bestemming_plaats;Bestemming_land
22121;2013-01-02;2;1;2013;00:24:00.0000000;0;2013-01-02;2;1;2013;00:12:00.0000000;0;12;D;D4;NA;0;6,4;7,2;7,7;Singapore Airlines;4;130;21;57;71;178;Boeing;767-300/300ER;250;2002;San Francisco;USA
22123;2013-01-02;2;1;2013;00:44:00.0000000;0;2013-01-02;2;1;2013;00:37:00.0000000;0;7;C;C5;C5;0;6,3;6,8;8,6;United Airlines;4;130;21;57;73;161;Boeing;B757-300;220;2001;Maastricht;Netherlands
22084;2013-01-02;2;1;2013;01:17:00.0000000;1;2013-01-02;2;1;2013;01:01:00.0000000;1;16;A;A2;A2;0;3,8;6,6;4,6;Georgian Airways;4;130;21;57;83;83;Tupolev;TU-134/134A/B;100;1983;Minneapolis;USA
22086;2013-01-02;2;1;2013;02:08:00.0000000;2;2013-01-02;2;1;2013;02:07:00.0000000;2;1;E;E5;E5;0;6,9;7,6;8,3;Malaysia Airlines;4;130;21;57;87;91;British Aerospace;146-100;105;1990;Houston;USA
22088;2013-01-02;2;1;2013;03:34:00.0000000;3;2013-01-02;2;1;2013;03:33:00.0000000;3;1;D;D2;NA;0;6,7;7,9;8,3;Aeroflot Russian Int. Airlines;4;130;21;57;87;218;Ilyushin;IL-86;250;1985;London;United Kingdom
22091;2013-01-02;2;1;2013;03:39:00.0000000;3;2013-01-02;2;1;2013;03:19:00.0000000;3;20;D;D2;D2;0;6,8;7;7,1;Korean Air;4;130;21;57;77;320;Boeing;747-400P;416;2003;Toronto;Canada
22090;2013-01-02;2;1;2013;04:10:00.0000000;4;2013-01-02;2;1;2013;04:05:00.0000000;4;5;C;C3;NA;0;6,2;7,3;8;Holland Exel;4;130;21;57;58;87;Airbus;A320-200;150;2004;Tenerife;Spain
22092;2013-01-02;2;1;2013;04:42:00.0000000;4;2013-01-02;2;1;2013;04:42:00.0000000;4;0;D;D5;D5;0;5,8;7,4;8,9;Iberia;4;130;21;57;100;42;Aerospatiale/Aerital;ATR 42;42;1988;Helsinki;Finland
22093;2013-01-02;2;1;2013;05:14:00.0000000;5;2013-01-02;2;1;2013;05:05:00.0000000;5;9;D;D4;NA;0;5,2;7,5;7,5;Singapore Airlines;4;130;21;57;91;319;Boeing;777-300;350;1997;Barcelona;Spain
22095;2013-01-02;2;1;2013;05:40:00.0000000;5;2013-01-02;2;1;2013;05:31:00.0000000;5;9;C;C2;NA;0;6,2;6,9;8;British Airways;4;130;21;57;57;237;Boeing;747-400P;416;1996;Sao Paulo;Brazil
22098;2013-01-02;2;1;2013;05:59:00.0000000;5;2013-01-02;2;1;2013;05:54:00.0000000;5;5;E;E5;E5;0;5,8;7,6;7,6;USA Airforce#1 Airways;4;130;21;57;98;39;Dash;8 DHC SERIES 100/200;40;2003;Detroit;USA
22099;2013-01-02;2;1;2013;06:59:00.0000000;6;2013-01-02;2;1;2013;06:53:00.0000000;6;6;B;B3;B3;0;6,4;6,8;6,3;Eujet;4;130;21;57;80;108;Boeing;B717-200;135;2002;Nice;France
22100;2013-01-02;2;1;2013;07:08:00.0000000;7;2013-01-02;2;1;2013;06:58:00.0000000;6;10;E;E1;NA;0;7,5;7,1;8,6;Armavia;4;130;21;57;98;147;Airbus;A320-200;150;1993;Hanover;Germany
22101;2013-01-02;2;1;2013;07:11:00.0000000;7;2013-01-02;2;1;2013;07:03:00.0000000;7;8;E;E5;E5;0;6,1;7,5;7,9;Icelandair;4;130;21;57;85;128;Mcdonnel;DOUGLAS MD-88;150;1983;Malabo;Equatorial Guinea
22102;2013-01-02;2;1;2013;08:44:00.0000000;8;2013-01-02;2;1;2013;08:43:00.0000000;8;1;B;B4;B4;0;5,2;7,7;6,4;Air Berlin;4;130;21;57;85;213;Airbus;A310-200;250;1983;Chania;Greece
22104;2013-01-02;2;1;2013;12:35:00.0000000;12;2013-01-02;2;1;2013;12:28:00.0000000;12;7;C;C4;C4;0;5,9;7,8;8;ArkeFly;4;130;21;57;80;40;Fokker;50;50;1992;Boston;USA
22105;2013-01-02;2;1;2013;13:16:00.0000000;13;2013-01-02;2;1;2013;13:12:00.0000000;13;4;C;C4;C4;0;4;7,6;7,4;ArkeFly;4;130;21;57;68;68;Fokker;100;100;1988;Chicago;USA
22106;2013-01-02;2;1;2013;14:14:00.0000000;14;2013-01-02;2;1;2013;14:10:00.0000000;14;4;C;C1;NA;0;6,5;7,8;7,6;Lufthansa;4;130;21;57;91;218;Boeing;737-900;240;2002;Zurich;Switzerland
22107;2013-01-02;2;1;2013;14:34:00.0000000;14;2013-01-02;2;1;2013;14:27:00.0000000;14;7;E;E5;NA;0;7,7;8;7,5;Royal Air Maroc;4;130;21;57;43;60;Mcdonnel;DOUGLAS MD-81;140;1993;Tel Aviv Yafo;Israel
22109;2013-01-02;2;1;2013;14:42:00.0000000;14;2013-01-02;2;1;2013;14:31:00.0000000;14;11;C;C5;NA;0;4,9;6,2;7,6;El Al Israel Airlines;4;130;21;57;69;607;Airbus;A380;880;2005;Los Angeles;USA
22111;2013-01-02;2;1;2013;14:49:00.0000000;14;2013-01-02;2;1;2013;14:42:00.0000000;14;7;B;B4;B4;0;6,8;8,1;6,6;Air Moldova;4;130;21;57;56;101;Tupolev;TU-154/154A/B/B2/C/M;180;1989;Calvi;France
22113;2013-01-02;2;1;2013;15:09:00.0000000;15;2013-01-02;2;1;2013;15:00:00.0000000;15;9;A;A5;NA;0;5,9;6,6;5;Sun Dor;4;130;21;57;56;84;Douglas;MD-11C;150;1996;Toronto;Canada
22115;2013-01-02;2;1;2013;16:17:00.0000000;16;2013-01-02;2;1;2013;16:15:00.0000000;16;2;C;C3;C3;0;6,2;7,4;8,2;United Airlines;4;130;21;57;88;366;Boeing;747-400P;416;2000;Reykjavik;Iceland
22116;2013-01-02;2;1;2013;17:20:00.0000000;17;2013-01-02;2;1;2013;17:19:00.0000000;17;1;C;C3;C3;0;7,1;7,6;8,1;Surinam Airways;4;130;21;57;71;24;Saab;SF340;34;1988;Detroit;USA
22117;2013-01-02;2;1;2013;17:39:00.0000000;17;2013-01-02;2;1;2013;17:38:00.0000000;17;1;B;B5;B5;0;6,2;7,2;7,1;Helios Airways;4;130;21;57;100;150;Mcdonnel;DOUGLAS MD-83;150;1993;Doha;Qatar
22118;2013-01-02;2;1;2013;18:46:00.0000000;18;2013-01-02;2;1;2013;18:40:00.0000000;18;6;A;A1;A1;0;5,3;6,7;4,7;Northwest Airlines;4;130;21;57;95;214;Boeing;747-400M;225;2004;Bremen;Germany
22119;2013-01-02;2;1;2013;20:22:00.0000000;20;2013-01-02;2;1;2013;20:14:00.0000000;20;8;B;B3;NA;0;6,5;6,1;6,8;Singapore Airlines;4;130;21;57;100;275;Airbus;A300B2;275;1976;Palermo;Italy
22120;2013-01-02;2;1;2013;22:05:00.0000000;22;2013-01-02;2;1;2013;21:52:00.0000000;21;13;E;E3;E3;0;4,9;7,4;8;Corendon Airlines;4;130;21;57;100;105;Airbus;A318;105;2004;Humberside;United Kingdom
22135;2013-01-03;3;1;2013;00:42:00.0000000;0;2013-01-03;3;1;2013;00:40:00.0000000;0;2;A;A4;A4;0;5;7,1;4,5;Northwest Airlines;1;120;50;56;71;295;Boeing;747-400P;416;1991;Casablanca;Morocco
22125;2013-01-03;3;1;2013;01:21:00.0000000;1;2013-01-03;3;1;2013;01:07:00.0000000;1;14;D;D1;B5;200;5,1;6,8;7,7;Iran Air;1;120;50;56;73;22;Dasa/Dornier;228-100;30;1983;Kiev;Ukraine
22126;2013-01-03;3;1;2013;02:39:00.0000000;2;2013-01-03;3;1;2013;02:28:00.0000000;2;11;E;E1;E5;0;8,3;6,4;7,7;Blue1;1;120;50;56;48;84;Airbus;A300C4;175;1987;Aberdeen;United Kingdom
22127;2013-01-03;3;1;2013;03:40:00.0000000;3;2013-01-03;3;1;2013;03:32:00.0000000;3;8;A;A3;A3;0;5,4;8;5,9;SkyEurope Airlines;1;120;50;56;42;116;Ilyushin;96-M;275;2005;Calgary;Canada
22128;2013-01-03;3;1;2013;04:12:00.0000000;4;2013-01-03;3;1;2013;04:05:00.0000000;4;7;D;D2;D2;0;4,7;7,5;7,9;World Focus Airlines;1;120;50;56;51;77;Boeing;737-300;150;1991;Delhi;India
22131;2013-01-03;3;1;2013;04:53:00.0000000;4;2013-01-03;3;1;2013;04:46:00.0000000;4;7;E;E2;E2;0;5,1;7,3;8;Lithuanian Airlines;1;120;50;56;52;143;Airbus;A300B4/C4;275;1982;San Francisco;USA
22137;2013-01-03;3;1;2013;06:58:00.0000000;6;2013-01-03;3;1;2013;06:51:00.0000000;6;7;C;C1;NA;0;5,5;7,5;8,6;KLM Royal Dutch Airlines;1;120;50;56;67;70;Airbus;A318;105;2004;San Francisco;USA
22136;2013-01-03;3;1;2013;06:59:00.0000000;6;2013-01-03;3;1;2013;06:43:00.0000000;6;16;D;D3;D3;0;6,9;7,6;7,5;THY Turkish Airlines;1;120;50;56;81;105;British Aerospace;146-300;130;1999;Rome;Italy
22140;2013-01-03;3;1;2013;07:23:00.0000000;7;2013-01-03;3;1;2013;07:18:00.0000000;7;5;C;C1;C3;0;7,3;6,7;8;KLM Royal Dutch Airlines;1;120;50;56;82;287;Boeing;777-300;350;2005;Toulouse;France
22143;2013-01-03;3;1;2013;09:00:00.0000000;9;2013-01-03;3;1;2013;08:59:00.0000000;8;1;A;A2;NA;0;5,4;7;4,6;AlsaceExel;1;120;50;56;87;239;Airbus;A300B2;275;1978;Sharm El Sheikh;Egypt
22144;2013-01-03;3;1;2013;09:14:00.0000000;9;2013-01-03;3;1;2013;09:03:00.0000000;9;11;E;E5;E5;0;5,6;8,3;8,8;Malaysia Airlines;1;120;50;56;61;61;DC;10M;100;1977;New York;USA
22145;2013-01-03;3;1;2013;09:49:00.0000000;9;2013-01-03;3;1;2013;09:35:00.0000000;9;14;E;E4;E4;0;6,2;7,3;8,3;Sterling;1;120;50;56;55;99;Boeing;737-800;180;1999;Boston;USA
22149;2013-01-03;3;1;2013;10:19:00.0000000;10;2013-01-03;3;1;2013;10:11:00.0000000;10;8;D;D3;D3;0;6,6;7,9;7,9;Balkan Holiday Airlines;1;120;50;56;54;135;Ilyushin;IL-86;250;1984;Antalya;Turkey
22146;2013-01-03;3;1;2013;10:20:00.0000000;10;2013-01-03;3;1;2013;10:08:00.0000000;10;12;C;C5;NA;0;6,6;7,3;8;KLM Royal Dutch Airlines;1;120;50;56;52;177;Airbus;A340-642;340;2003;Calvi;France
22150;2013-01-03;3;1;2013;10:25:00.0000000;10;2013-01-03;3;1;2013;10:24:00.0000000;10;1;D;D3;D3;0;6,5;7,5;9,2;Balkan Holiday Airlines;1;120;50;56;68;122;Ilyushin;IL-62/62M;180;1971;Cape Town;South Africa
22151;2013-01-03;3;1;2013;12:01:00.0000000;12;2013-01-03;3;1;2013;11:59:00.0000000;11;2;D;D4;D4;0;5;7,8;7,7;Delta Air Lines;1;120;50;56;70;291;Boeing;747-400P;416;2003;Kilimanjaro;Tanzania
22153;2013-01-03;3;1;2013;13:06:00.0000000;13;2013-01-03;3;1;2013;12:48:00.0000000;12;18;E;E3;E3;0;7,1;7,9;7,6;Syrian Arab Airlines;1;120;50;56;57;103;Tupolev;TU-154/154A/B/B2/C/M;180;1987;Belfast;United Kingdom
22154;2013-01-03;3;1;2013;13:50:00.0000000;13;2013-01-03;3;1;2013;13:44:00.0000000;13;6;C;C5;C5;0;6,8;7,6;8,7;Surinam Airways;1;120;50;56;58;75;British Aerospace;146-300;130;1991;Calvi;France
22155;2013-01-03;3;1;2013;14:54:00.0000000;14;2013-01-03;3;1;2013;14:53:00.0000000;14;1;C;C1;NA;0;7,6;7,5;7;Lufthansa;1;120;50;56;46;83;Airbus;A321-100/200;180;2002;Kano;Nigeria
22158;2013-01-03;3;1;2013;16:19:00.0000000;16;2013-01-03;3;1;2013;16:03:00.0000000;16;16;C;C3;C3;0;3,7;7,5;8;El Al Israel Airlines;1;120;50;56;80;160;Boeing;767-200/200ER;200;1990;Porto;Portugal
22159;2013-01-03;3;1;2013;16:41:00.0000000;16;2013-01-03;3;1;2013;16:35:00.0000000;16;6;A;A5;A5;0;5,9;6,9;5,6;Sun Dor;1;120;50;56;59;207;Boeing;777-300;350;2004;Berlin;Germany
22160;2013-01-03;3;1;2013;16:57:00.0000000;16;2013-01-03;3;1;2013;16:52:00.0000000;16;5;B;B1;B1;0;5,5;6,8;7,5;Martinair Holland;1;120;50;56;78;215;Airbus;A300-600P;275;1999;Cork;Ireland
22162;2013-01-03;3;1;2013;17:18:00.0000000;17;2013-01-03;3;1;2013;17:08:00.0000000;17;10;C;C2;NA;0;5,6;7,2;7,5;KLM Royal Dutch Airlines;1;120;50;56;69;76;Boeing;737-600;110;2002;Abu Dhabi;United Arab Emirates
22166;2013-01-03;3;1;2013;19:39:00.0000000;19;2013-01-03;3;1;2013;19:34:00.0000000;19;5;D;D2;NA;0;6,1;8;8;Singapore Airlines;1;120;50;56;100;275;Airbus;A300B2;275;1980;Delhi;India
22170;2013-01-03;3;1;2013;19:58:00.0000000;19;2013-01-03;3;1;2013;19:56:00.0000000;19;2;A;A1;A1;0;7,2;7,8;4,2;LOT Polish Airlines;1;120;50;56;61;122;Boeing;767-200/200ER;200;1995;Catania;Italy
22172;2013-01-03;3;1;2013;20:12:00.0000000;20;2013-01-03;3;1;2013;20:11:00.0000000;20;1;E;E2;NA;0;5,8;7,1;8,8;VARIG Brasilian Airlines;1;120;50;56;36;112;Airbus;A340-211;310;2001;Rome;Italy
22173;2013-01-03;3;1;2013;21:20:00.0000000;21;2013-01-03;3;1;2013;21:20:00.0000000;21;0;C;C4;C4;0;7,4;8,4;7,5;KLM Royal Dutch Airlines;1;120;50;56;59;89;Mcdonnel;DOUGLAS MD-83;150;1985;Prague;Czech Republic
22178;2013-01-03;3;1;2013;22:58:00.0000000;22;2013-01-03;3;1;2013;22:37:00.0000000;22;21;B;B2;B2;0;5,9;7,5;6,7;Lotus Air;1;120;50;56;52;143;Airbus;A300B4/C4;275;1983;Alicante;Spain
22179;2013-01-03;3;1;2013;23:54:00.0000000;23;2013-01-03;3;1;2013;23:46:00.0000000;23;8;C;C3;NA;0;4,8;7,5;7;KLM Royal Dutch Airlines;1;120;50;56;82;341;Boeing;747-400P;416;1990;Willemstad / Curacao Island;Netherlands Antilles
22221;2013-01-04;4;1;2013;00:40:00.0000000;0;2013-01-04;4;1;2013;00:34:00.0000000;0;6;B;B3;NA;0;4,7;6,2;7,1;Air Moldova;0;100;50;50;76;190;Ilyushin;IL-86;250;1992;Chicago;USA
22186;2013-01-04;4;1;2013;03:12:00.0000000;3;2013-01-04;4;1;2013;03:03:00.0000000;3;9;E;E3;NA;0;3,7;7,9;7,4;Royal Air Maroc;0;100;50;50;42;101;Boeing;737-900;240;2002;London;United Kingdom
22187;2013-01-04;4;1;2013;03:51:00.0000000;3;2013-01-04;4;1;2013;03:46:00.0000000;3;5;C;C3;NA;0;5,7;6,9;8,1;TAP Portugal;0;100;50;50;70;35;Bombardier;CRJ100;50;2004;Vienna;Austria
22188;2013-01-04;4;1;2013;03:57:00.0000000;3;2013-01-04;4;1;2013;03:46:00.0000000;3;11;D;D4;D4;0;6,3;7,5;7,3;Arkia;0;100;50;50;90;135;Boeing;737-300;150;1993;Cardiff;United Kingdom
22193;2013-01-04;4;1;2013;05:21:00.0000000;5;2013-01-04;4;1;2013;05:14:00.0000000;5;7;B;B1;B1;0;5,7;8,2;7,2;Martinair Holland;0;100;50;50;58;160;Airbus;A300B4/C4;275;1986;Abu Dhabi;United Arab Emirates
22194;2013-01-04;4;1;2013;05:32:00.0000000;5;2013-01-04;4;1;2013;05:30:00.0000000;5;2;E;E3;NA;0;5,9;6,9;8,4;BudgetAir;0;100;50;50;71;142;Boeing;767-200/200ER;200;2004;Zagreb;Croatia (Hrvatska)
22195;2013-01-04;4;1;2013;06:42:00.0000000;6;2013-01-04;4;1;2013;06:35:00.0000000;6;7;D;D3;D3;0;6,3;6,9;8,2;Korean Air;0;100;50;50;77;320;Boeing;747-400P;416;2000;SAL;Cape Verde
22198;2013-01-04;4;1;2013;07:48:00.0000000;7;2013-01-04;4;1;2013;07:41:00.0000000;7;7;D;D3;NA;0;6,4;6,5;7,7;Iberia;0;100;50;50;75;101;Boeing;B717-200;135;2000;Paris;France
22200;2013-01-04;4;1;2013;08:15:00.0000000;8;2013-01-04;4;1;2013;08:11:00.0000000;8;4;D;D3;NA;0;8;7,5;7,7;Delta Air Lines;0;100;50;50;77;173;Boeing;747-400M;225;1993;Marrakech;Morocco
22201;2013-01-04;4;1;2013;09:03:00.0000000;9;2013-01-04;4;1;2013;08:53:00.0000000;8;10;E;E4;NA;0;5,7;6,8;8,7;easyJet;0;100;50;50;76;114;Boeing;737-300;150;1993;Tenerife;Spain
22202;2013-01-04;4;1;2013;09:15:00.0000000;9;2013-01-04;4;1;2013;09:04:00.0000000;9;11;B;B3;B3;0;6,4;6,4;6,1;Kenya Airways;0;100;50;50;92;66;Aerospatiale/Aerital;ATR 72;72;1999;Larnaca;Cyprus
22203;2013-01-04;4;1;2013;11:26:00.0000000;11;2013-01-04;4;1;2013;11:23:00.0000000;11;3;B;B2;B2;0;4,4;7,6;7,1;Egypt Air;0;100;50;50;90;158;Airbus;A300C4;175;1987;Budapest;Hungary
22205;2013-01-04;4;1;2013;12:23:00.0000000;12;2013-01-04;4;1;2013;12:18:00.0000000;12;5;C;C3;C3;0;6,4;7,4;8,2;El Al Israel Airlines;0;100;50;50;54;162;Boeing;747SP;300;1983;Chicago;USA
22206;2013-01-04;4;1;2013;13:01:00.0000000;13;2013-01-04;4;1;2013;12:56:00.0000000;12;5;B;B4;B4;0;6,7;7,2;6,3;Lotus Air;0;100;50;50;75;206;Airbus;A300B4/C4;275;1982;Malaga;Spain
22209;2013-01-04;4;1;2013;15:35:00.0000000;15;2013-01-04;4;1;2013;15:33:00.0000000;15;2;C;C2;C2;0;5;7,8;7,6;MAT Macedonian Airlines;0;100;50;50;61;92;Airbus;A320-100;150;1988;Dusseldorf;Germany
22210;2013-01-04;4;1;2013;16:08:00.0000000;16;2013-01-04;4;1;2013;15:54:00.0000000;15;14;C;C5;NA;0;6,8;6,7;7,3;KLM Royal Dutch Airlines;0;100;50;50;74;111;Mcdonnel;DOUGLAS MD-82;150;1986;Bratislava;Slovakia
22215;2013-01-04;4;1;2013;17:57:00.0000000;17;2013-01-04;4;1;2013;17:55:00.0000000;17;2;B;B5;NA;0;6;6,8;5,8;Helios Airways;0;100;50;50;52;78;Boeing;737-300;150;1994;Heraklion;Greece
22217;2013-01-04;4;1;2013;21:14:00.0000000;21;2013-01-04;4;1;2013;21:05:00.0000000;21;9;B;B2;B2;0;5,4;8,1;6,4;Eujet;0;100;50;50;49;66;Boeing;B717-200;135;2002;Calvi;France
22219;2013-01-04;4;1;2013;23:30:00.0000000;23;2013-01-04;4;1;2013;23:16:00.0000000;23;14;C;C4;C4;0;6,6;6,3;8,3;Air Canada;0;100;50;50;70;35;Canadair;REGIONALJET;50;1999;Mexico City;Mexico
22262;2013-01-05;5;1;2013;00:29:00.0000000;0;2013-01-05;5;1;2013;00:19:00.0000000;0;10;C;C3;NA;0;4,8;7,6;8,8;KLM Royal Dutch Airlines;3;80;31;46;67;134;Boeing;757-200P;200;1986;Reus;Spain
22222;2013-01-05;5;1;2013;01:16:00.0000000;1;2013-01-05;5;1;2013;01:10:00.0000000;1;6;D;D2;NA;0;5,9;7,3;8,2;Japan Airlines;3;80;31;46;48;115;Boeing;737-900;240;2005;Sydney;Australia
22225;2013-01-05;5;1;2013;01:16:00.0000000;1;2013-01-05;5;1;2013;01:09:00.0000000;1;7;D;D1;D1;0;5,7;8,4;8;Delta Air Lines;3;80;31;46;52;104;Boeing;757-200P;200;1992;Pisa;Italy
22228;2013-01-05;5;1;2013;03:17:00.0000000;3;2013-01-05;5;1;2013;03:03:00.0000000;3;14;E;E2;D1;200;6,5;5,9;7,7;Delta Air Lines;3;80;31;46;70;291;Boeing;747-400P;416;1999;Moscow;Russia
22227;2013-01-05;5;1;2013;03:19:00.0000000;3;2013-01-05;5;1;2013;03:17:00.0000000;3;2;B;B2;B2;0;6;8,1;6,5;Kenya Airways;3;80;31;46;53;38;Aerospatiale/Aerital;ATR 72;72;1999;Rome;Italy
22235;2013-01-05;5;1;2013;04:17:00.0000000;4;2013-01-05;5;1;2013;04:17:00.0000000;4;0;A;A4;NA;0;5;7,2;4,6;Atlas Blue;3;80;31;46;77;212;Airbus;A300B4/C4;275;1977;Moscow;Russia
22234;2013-01-05;5;1;2013;04:44:00.0000000;4;2013-01-05;5;1;2013;04:40:00.0000000;4;4;D;D3;D3;0;7,1;7,9;7,9;Maersk Air;3;80;31;46;72;634;Airbus;A380;880;2005;Larnaca;Cyprus
